n_fila,video_id,url_video,titulo_video,medio,canal,fecha_video,vistas_video,likes_video,comentarios_reportados_video,categoria_video,puntaje_politico,razones_politicas,motivo_rechazo_politico,desastre_detectado,personajes_detectados,partidos_detectados,instituciones_detectadas,temas_detectados,comentario_id,autor_anonimo,texto_comentario,likes_comentario,fecha_comentario,total_respuestas,fuente,metodo_extraccion,fecha_extraccion
1,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,UgyvSBMBZsg25-aeu594AaABAg,usuario_anon_242abae3cc,El señor Elard Juan Bolaños ha tenido la valentía de informar los motivos de su renuncia claramente y estos personajes salen a despotricar y declararse inocentes entrados en pánico me gustaría que se investigue alguien de la prensa sería que lo haga porque el cuello blanco corrupto de Aladino Gálvez no está calificado para hacerlo.,39,2026-06-27T02:00:26Z,1,YouTube,YouTube Data API v3,2026-06-27 20:12:18
2,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,Ugwu-gsR_Gznb-9gejN4AaABAg,usuario_anon_7769f3fac4,"Peritaje al software de la ONPE , se mueren de miedo q los veedores americanos hagan el peritaje.",20,2026-06-27T02:31:22Z,0,YouTube,YouTube Data API v3,2026-06-27 20:12:18
3,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,Ugx1OClNkOJxMrb4Z614AaABAg,usuario_anon_194e686504,Tarde o temprano la verdad sale a la luz,14,2026-06-27T03:33:03Z,1,YouTube,YouTube Data API v3,2026-06-27 20:12:18
4,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,UgyOwzqsyFULJDNzT6J4AaABAg,usuario_anon_b28508d132,"Rl señor Jesús nos dijo Que todo saldrá a Luz,Que todo será hecho público...Que todo se llegará a saber....",30,2026-06-27T00:48:09Z,1,YouTube,YouTube Data API v3,2026-06-27 20:12:18
5,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,UgyPAtL6VNJGads6nu14AaABAg,usuario_anon_ad8d1ce7fc,"Bien 👍 👍 👍 X fin un funcionario de la onpe que está denunciando irregulares,",14,2026-06-27T03:56:03Z,0,YouTube,YouTube Data API v3,2026-06-27 20:12:18
6,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,UgykUHn4WKlOsjoqijJ4AaABAg,usuario_anon_5c335748aa,La ONPE es una institución llena de problemas se debería de hacer una auditoría. Al software del sistema operativo de la ONPE. Urgente,12,2026-06-27T02:45:22Z,0,YouTube,YouTube Data API v3,2026-06-27 20:12:18
7,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,UgxlfDaKraVL21AkaTZ4AaABAg,usuario_anon_17e7a30a10,"CON ESTA DENUNCIA, CONFIRMA MANIPULACION DE TODO EK PROCESO ELECTORAL, NO HA EXISTIDO TRANSPARENCIA",8,2026-06-27T11:53:46Z,0,YouTube,YouTube Data API v3,2026-06-27 20:12:18
8,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,UgwO6UE4Apj_AX7Ga3F4AaABAg,usuario_anon_86171c4a2c,Desde antes que se diera la primera vuelta ya todo olía a podrido.,4,2026-06-27T12:12:20Z,0,YouTube,YouTube Data API v3,2026-06-27 20:12:18
9,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,UgyOI3mtAcMoqtZVK8h4AaABAg,usuario_anon_4ec1280de5,Fraude electoral....,4,2026-06-27T14:12:01Z,0,YouTube,YouTube Data API v3,2026-06-27 20:12:18
10,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,UgysMOftcuqHJm3ligJ4AaABAg,usuario_anon_1a407aba8c,"Todo el Perú,sabe que las elecciones,son un fraude grosero, vergonzoso,y descarado",31,2026-06-27T02:29:03Z,2,YouTube,YouTube Data API v3,2026-06-27 20:12:18
11,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,UgwsNH0Z1kTFxutp4z94AaABAg,usuario_anon_bb46369810,"La Onpe esta manejado por el fujimorismo, la contraloria que dice ser el que valida lo eligio este parlamento, el fraude se armo desde el congreso porque todas las instituciones estan manejadas por esta gente.",6,2026-06-27T07:00:46Z,3,YouTube,YouTube Data API v3,2026-06-27 20:12:18
12,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,UgzwJhjm0VyWQde-zKh4AaABAg,usuario_anon_c05568c726,Sra k dónde estás?seguro tú ordenaste para hacer fraude y te apodere de la presidencia,11,2026-06-27T04:03:12Z,7,YouTube,YouTube Data API v3,2026-06-27 20:12:18
13,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,UgzqqlwFmEdGbOsSiaZ4AaABAg,usuario_anon_c1b4e89055,URGENTE REVISAR EL SOFTWARE DE LA ONPE PARA ESCLARECER IRREGULARIDADES EN LAS ELECCIONES POR LA KORRUPCION.,2,2026-06-27T14:14:55Z,0,YouTube,YouTube Data API v3,2026-06-27 20:12:18
14,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,UgzOBi8Ujkvu4HBmhzt4AaABAg,usuario_anon_e8d768c2ba,El pueblo sabe perfectamente del fraude 😡🐀🐀,2,2026-06-27T09:20:35Z,0,YouTube,YouTube Data API v3,2026-06-27 20:12:18
15,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,Ugxv8ZItfT2dn3O7w954AaABAg,usuario_anon_44d253f4f5,"A disposición de que justicia?...quien les cree a los investigadores, fiscales jueces....habrá justicia",2,2026-06-27T04:21:16Z,0,YouTube,YouTube Data API v3,2026-06-27 20:12:18
16,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,UgzUpA5T616-eqjtUs54AaABAg,usuario_anon_7e21cc2322,Todos sabemos que hay fraude,4,2026-06-27T03:17:07Z,0,YouTube,YouTube Data API v3,2026-06-27 20:12:18
17,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,Ugy1IxqBpLSqCcf2PIt4AaABAg,usuario_anon_dcd724a9f7,TREMENDO FRAUDE,1,2026-06-27T16:05:29Z,0,YouTube,YouTube Data API v3,2026-06-27 20:12:18
18,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,UgyQJlEhIws684-j9At4AaABAg,usuario_anon_9bb20f08f0,Alguien puede dudar de la manipulación de resultados electorales,2,2026-06-27T05:23:04Z,0,YouTube,YouTube Data API v3,2026-06-27 20:12:18
19,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,UgzFNNoHo8hHJUNbFmd4AaABAg,usuario_anon_f19d1b1497,"Desde luego, ya había rumores de que la Sra K por medio del kongreso había estado detrás de intentar remover a los JEE (descubrió que eran el problema, ya que no reconocía haber perdido contra castillo), que no les sea extraño que lo haya influenciado finalmente.",1,2026-06-27T14:21:47Z,0,YouTube,YouTube Data API v3,2026-06-27 20:12:18
20,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,UgxVwl-OiRpNiROd6bp4AaABAg,usuario_anon_28b546d515,"ONPE, está vendido a los fujiratas",1,2026-06-27T21:45:51Z,0,YouTube,YouTube Data API v3,2026-06-27 20:12:18
21,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,Ugyk1W-dzB_1baNu_Jh4AaABAg,usuario_anon_5312300d1a,Quieren el fraude para las eleciones regionales municipales el fujimorismo y RENOVACION POPULAR atencion PERU al pacto MAFIOSO DE KEIKO FUJIMORI,3,2026-06-27T07:10:44Z,1,YouTube,YouTube Data API v3,2026-06-27 20:12:18
22,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,UgwLBeOV89lRbN79RM54AaABAg,usuario_anon_f19d1b1497,Como haya un indicio de fraude y la población va arder,1,2026-06-27T13:46:31Z,1,YouTube,YouTube Data API v3,2026-06-27 20:12:18
23,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,UgwXmChhYyRnfdRCt8F4AaABAg,usuario_anon_a2f473e2f5,"Evidencias, sino estaria como Porky y Sánchez...llorando por la herida",2,2026-06-27T02:37:56Z,1,YouTube,YouTube Data API v3,2026-06-27 20:12:18
24,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,Ugz1Zx1cfVWsOcBSSop4AaABAg,usuario_anon_9a30a89eb0,Corveto sabía todo y calló todo,6,2026-06-27T03:41:53Z,0,YouTube,YouTube Data API v3,2026-06-27 20:12:18
25,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,UgwXxKait3R4E7vcCkB4AaABAg,usuario_anon_71da3f58b1,Ayayay ahora agarrate JP ...porque la primera vuelta el.fraude fue contra porky,3,2026-06-27T02:39:32Z,4,YouTube,YouTube Data API v3,2026-06-27 20:12:18
26,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,Ugw-KPwJsdyAa2xJo5x4AaABAg,usuario_anon_5923c5f770,Por fa. Edto es ya insoportable p un grupo humano decente o es q asi scostumbrsn vivir en la pedtilencia fde un potrero..,0,2026-06-27T03:51:28Z,0,YouTube,YouTube Data API v3,2026-06-27 20:12:18
27,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,UgwkHxvHlYAePfynRal4AaABAg,usuario_anon_ba1c17281b,Por eso JP quería que el voto del extranjero sea DIGITAL. Ya saben para qué.,0,2026-06-27T17:34:54Z,0,YouTube,YouTube Data API v3,2026-06-27 20:12:18
28,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,Ugyf_9G5MYFiy3DDT854AaABAg,usuario_anon_9c17348eb0,Los corruptos de los fujirratas han comprado a la ONPE es por ello le tendieron una camita a Corbeto.,4,2026-06-27T05:34:43Z,0,YouTube,YouTube Data API v3,2026-06-27 20:12:18
29,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,UgysK8Yz-Fg0yloadQB4AaABAg,usuario_anon_8771c8fbb2,"Y que hace fiscalía , JNJ, claro están coludidos con la jefa ....",0,2026-06-27T13:51:59Z,0,YouTube,YouTube Data API v3,2026-06-27 20:12:18
30,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,UgxpdQz1gJ4Azxy1bGN4AaABAg,usuario_anon_78366fb670,"El fraude lo pilotaba Crovetto, por eso Sánchez pasó del 7 a 2 lugar. Primero lo separan a Bolaños y después el renuncia insinuando fraude, pero no muestra pruebas.",0,2026-06-27T13:35:27Z,0,YouTube,YouTube Data API v3,2026-06-27 20:12:18
31,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,UgwUsop6aTPFw0WLdD14AaABAg,usuario_anon_e2667441f1,Las coimas de Corvetto en las adquisiciones de equipos corruptos de computo y SOFTWARE trsfa.,0,2026-06-27T13:36:23Z,0,YouTube,YouTube Data API v3,2026-06-27 20:12:18
32,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,Ugyr681___hoCOx_auN4AaABAg,usuario_anon_04d4691b13,"Ha reaccionado muy tarde, o no le pagaron completo por sus servicios?",0,2026-06-27T02:45:54Z,0,YouTube,YouTube Data API v3,2026-06-27 20:12:18
33,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,UgzdQu5Ou7-_4bgUJe94AaABAg,usuario_anon_d625e431d1,"Sres de la ONOE, JEE,..etc..Komplices... inscripción. De REELECCIÓN...A AUTIDADES que SAKEAN las armas... sobrevaloración 🍊🐀🐭💰🍊",0,2026-06-27T13:05:05Z,0,YouTube,YouTube Data API v3,2026-06-27 20:12:18
34,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,UgywJXzox3vGtmQ546J4AaABAg,usuario_anon_f2706b7e80,Una evidencia de q HUBO FRAUDE amerita NUEVAS ELECCIONES,0,2026-06-27T21:41:37Z,0,YouTube,YouTube Data API v3,2026-06-27 20:12:18
35,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,Ugzn_TizZPLvVE-Vvnx4AaABAg,usuario_anon_050643431b,"El fraude se detectó en la 1era vuelta. Las mesas 900K que favorecieron groseramente a Sanchez, que de cuarto lugar subió al segundo lugar. Tan asqueroso fue que se olvidaron que postulaba para diputado también y no alcanzó el mínimo de votos requerido. En la 2da vuelta, con los 85mil personeros que dispuso FP, ya no pudieron con el engaño. En esas mesas 900K, Sanchez sacó 95% en la 1era vuelta y bajó a 65% en la segunda vuelta.",0,2026-06-27T19:08:41Z,0,YouTube,YouTube Data API v3,2026-06-27 20:12:18
36,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,UgzPC5-7y-6IItX0hdZ4AaABAg,usuario_anon_6fa2aba0f9,Razon como contrarios al pueblo llega a alcalde? En ciudades principales?,0,2026-06-27T10:11:12Z,0,YouTube,YouTube Data API v3,2026-06-27 20:12:18
37,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,UgyLBsyrQ0uLaIau7hp4AaABAg,usuario_anon_c0294d72b1,"Que casualidad que recién hable este señor, investiguenlo, no me extrañaría que se está lavando las manos ante tremendo fraude que se iba a cometer.",0,2026-06-27T18:38:07Z,0,YouTube,YouTube Data API v3,2026-06-27 20:12:18
38,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,UgzARLoaYkSlIq70D-94AaABAg,usuario_anon_28a622b7a9,Renuncian porque ya cumplieron el fraude de kk se van con el bolsillo llenos fácil renuncias y no pasa nada,0,2026-06-27T20:06:55Z,0,YouTube,YouTube Data API v3,2026-06-27 20:12:18
39,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,Ugy9d_CYqwy2h3FwEAZ4AaABAg,usuario_anon_aa2230299b,POR QUE CON LA MISMA ENERGIA NO PROTESTASTE DEL FRAUDE DEL SOMBRERO EN LA PRIMERA VUELTA ...AHJ,0,2026-06-27T17:04:13Z,0,YouTube,YouTube Data API v3,2026-06-27 20:12:18
40,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,UgxJIJgTWqdSnF0b9xN4AaABAg,usuario_anon_dcda7110fa,Gran Fraude Total comprometidos toda la Dictadura Congresal diversas autoridades ffaa y policía nacional.Csncilleris y consulados,0,2026-06-27T15:11:32Z,0,YouTube,YouTube Data API v3,2026-06-27 20:12:18
41,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,Ugyq2rhfvoq3uEs5njd4AaABAg,usuario_anon_9ff58bb789,Sánchez y Roberto eran los elegidos en primera lo q pasa q Porky es la misma rama de Keyko y lo jugaron,0,2026-06-27T05:47:39Z,0,YouTube,YouTube Data API v3,2026-06-27 20:12:18
42,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,UgznPQN1tO0L7y3uC_54AaABAg,usuario_anon_6fa2aba0f9,"Ya la denuncia fue 2011- 2016. De dijitadores, obligados a variar en favor de kk, Razon esta, va pasando valla, cuando nadie la quiere, razon va teniendo mayoria para dar leyes en favor de otros, razon siempre esta compitiendo como2, cuando traslada su publico en buses, mitines casi privados recontra resguardada, abucheada por las calles, razon, razon los peruanos lo sabiamos siempre la pregunta fue, como estaba haciendo el fraude. Lo correcto es que debe ser nulo toda esta eleccion. Si es que aun hay justicia. Porque la estan desapareciendo. Seras feliz si no tienes nada? Agenda 2030. Lo lograran a ese año? Juegos del hambre?",0,2026-06-27T10:05:31Z,0,YouTube,YouTube Data API v3,2026-06-27 20:12:18
43,ejNJiTret6E,https://www.youtube.com/watch?v=ejNJiTret6E,EXFUNCIONARIO DE LA ONPE DENUNCIA MANIPULACIÓN INTERNA | FUERTE Y CLARO #shorts,La República,La República - LR+,2026-06-26T23:52:12Z,24681,917,94,25,15,"título con institución política: ONPE | tags con tema político: politica, política | categoría YouTube 25",,,,,ONPE,politica; política,Ugz1zUaCEZSepExgIc94AaABAg,usuario_anon_1428961f5a,Fraude y escandaloso. Hay mucho oro y minerales para dejar quitarse el gobierno fácilmente.,1,2026-06-27T13:34:26Z,1,YouTube,YouTube Data API v3,2026-06-27 20:12:18
